,AdaptiveMA2008,CryptoBB2008,DividendPaydate2008,DynamicBreakout2008,FOMC2008,HedgeVIX2008,LumberGold2008,MultiVar2008,OptionSkewness2008,OvernightMomentum2008,SectorRotation2008,SimpleEMA2008,SPY2008,TScrossSecMom2008,VolatilityRiskPremium2008
0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
1,101338.165,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,98654.560216416,100000.0,100000.0
2,101407.645,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100150.248566261,100000.0,100000.0,100000.0,100000.0,98586.499313696,101106.87262150516,100000.0
3,103868.125,100000.0,100000.0,100000.0,100000.0,100000.0,99993.07,100271.543617231,100000.0,100000.0,100000.0,100000.0,96183.94944768,99867.24660413043,100000.0
4,103503.085,100000.0,100000.0,100000.0,100000.0,100000.0,100256.41,100235.15510194,100000.0,100000.0,100000.0,100000.0,96544.672232096,98868.35670656881,100000.0
5,105423.895,100000.0,100000.0,100000.0,100000.0,100000.0,97498.27,100356.45015291,100000.0,100000.0,100000.0,100000.0,94741.058310016,99716.92299102592,100000.0
6,103931.055,100000.0,100000.0,100000.0,100000.0,100000.0,98690.23,100307.932132522,100000.0,100000.0,100000.0,100000.0,96081.8580936,100074.51001253833,100000.0
7,103195.55,100000.0,100000.0,100000.0,100000.0,100000.0,99632.71,100307.932132522,100000.0,100000.0,100000.0,100000.0,96776.079301344,98240.4065922787,100000.0
8,104482.935,100000.0,100000.0,100000.0,100000.0,100000.0,97581.43,100586.910749753,100000.0,100000.0,100000.0,100000.0,95571.4013232,97620.7467178818,99497.645
9,103433.14,100000.0,100000.0,100000.0,100000.0,100000.0,98662.51,100623.299265044,100000.0,100000.0,100000.0,100000.0,96544.672232096,98156.14226179998,100789.935
10,106010.365,100000.0,100000.0,100000.0,100000.0,100000.0,96666.67,100683.946790529,100000.0,100000.0,100000.0,100000.0,94155.734546624,96750.17447427013,98259.405
11,106602.26,100000.0,100000.0,100000.0,100000.0,100000.0,96722.11,100793.112336402,100000.0,100000.0,100000.0,100000.0,93604.441234592,93599.92560630485,97507.975
12,109628.765,100000.0,100000.0,100000.0,100000.0,100000.0,94352.05,100962.92540776,100000.0,100000.0,100000.0,100000.0,90943.25993824,93183.75350616993,93576.245
13,110270.34,100000.0,100000.0,100000.0,100000.0,100000.0,93409.57,101047.831943439,100000.0,100000.0,100000.0,100000.0,90439.609258112,93912.96553724098,92961.525
14,111421.79,100000.0,100000.0,100000.0,100000.0,100000.0,93104.65,101472.364621834,100000.0,100000.0,100000.0,100000.0,89439.113988128,91061.35262349485,91487.115
15,109138.4,100000.0,100000.0,100000.0,100000.0,100000.0,95987.53,101423.846601446,100000.0,100000.0,100000.0,100000.0,91208.697458848,86977.23172479104,94497.915
16,107992.47,100000.0,100000.0,100000.0,100000.0,100000.0,95945.95,101108.479468924,100000.0,100000.0,100000.0,100000.0,92141.131826112,87910.10547122698,95916.025
17,109560.715,100000.0,100000.0,100000.0,100000.0,100000.0,95266.81,101363.199075961,100000.0,100000.0,100000.0,100000.0,90773.10768144,88161.08735402534,93669.995
18,107638.925,100000.0,100000.0,100000.0,100000.0,100000.0,97262.65,101314.681055573,100000.0,100000.0,100000.0,100000.0,92365.732805088,86990.97703024656,96379.015
19,107014.265,100000.0,100000.0,100000.0,100000.0,100000.0,97733.89,101266.163035185,100000.0,100000.0,100000.0,100000.0,92876.189575488,86123.8746697211,97221.265
